band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,AT,,disease severity,spad,WC,number
0.012464,-0.012709,0.0056375,0.015741,0.023456,0.05125,0.025281,-0.0041463,0.067375,0.066142,0.18838,0.2697,0.27235,0.30109,0.3041,0.33436,0.32802,0.32236,0.31782,0.34452,0.33577,0.32903,0.30074,0.56633,0.4,1.67,45.2,0.83423,80
-0.013047,-0.030204,0.0077029,-0.0011224,0.014267,0.075652,0.023643,0.0038372,0.081161,0.052376,0.19903,0.26241,0.28638,0.3324,0.34841,0.33306,0.3341,0.36084,0.3413,0.34064,0.34823,0.35023,0.38304,0.56633,0.4,2.33,42.733,0.81742,81
-0.00099321,-0.025119,0.0040314,0.0076211,0.016821,0.052063,0.020182,-0.010116,0.072504,0.061922,0.20402,0.2798,0.29313,0.33088,0.33119,0.36051,0.35551,0.34902,0.35274,0.37123,0.36547,0.36187,0.3554,0.56633,0.4,2.33,42.733,0.81742,82
-0.0082355,-0.02656,0.014726,0.020435,0.018739,0.052517,0.027684,-0.015108,0.072779,0.05353,0.19155,0.24642,0.27363,0.30846,0.28323,0.34547,0.34267,0.32586,0.32688,0.34595,0.32924,0.32789,0.32066,0.56633,0.4,2.33,42.733,0.81742,83
-0.013164,-0.032511,0.012948,0.016344,0.016738,0.052965,0.020163,-0.020562,0.076311,0.049568,0.21602,0.27247,0.30656,0.3603,0.33307,0.38708,0.38841,0.36819,0.37687,0.38909,0.37247,0.37267,0.37473,0.56633,0.4,2.33,42.733,0.81742,84
-0.019224,-0.039784,0.0074481,0.010342,0.012535,0.052855,0.019796,-0.024416,0.077735,0.051933,0.21677,0.28892,0.31808,0.36558,0.3326,0.39437,0.39353,0.37621,0.37576,0.3919,0.37737,0.37663,0.37613,0.56633,0.4,2.33,42.733,0.81742,85
-0.016396,-0.031799,0.01319,0.0047717,0.015125,0.076558,0.024704,0.00018287,0.083266,0.046562,0.20812,0.25393,0.29349,0.34395,0.34771,0.34437,0.34689,0.35968,0.3489,0.34476,0.34432,0.34892,0.38698,0.56633,0.6,4,39.133,0.78689,86
-0.012303,-0.034578,0.0075234,0.0082803,0.014081,0.053296,0.022118,-0.015148,0.073055,0.058298,0.20886,0.27233,0.29141,0.33159,0.31654,0.35676,0.35139,0.3392,0.35189,0.36463,0.35726,0.35674,0.36539,0.56633,0.6,4,39.133,0.78689,87
0.0021884,-0.0081034,0.03407,0.035385,0.029152,0.06947,0.033662,-0.0016356,0.079265,0.040685,0.20153,0.21074,0.25994,0.32604,0.31199,0.33709,0.35043,0.33333,0.33623,0.33539,0.3143,0.31862,0.33172,0.56633,0.6,4,39.133,0.78689,88
0.012626,0.0035092,0.037092,0.045433,0.034802,0.06171,0.043599,0.0038977,0.072805,0.048172,0.17493,0.17695,0.20779,0.25377,0.2369,0.27726,0.28218,0.26318,0.27256,0.27897,0.2611,0.26256,0.26353,0.56633,0.6,4,39.133,0.78689,89
-0.0039905,-0.018898,0.024077,0.025294,0.024461,0.064607,0.038221,-0.00013,0.075259,0.053481,0.19153,0.21038,0.23901,0.28113,0.26106,0.29581,0.29668,0.28501,0.29573,0.29696,0.29022,0.2924,0.31012,0.56633,0.6,4,39.133,0.78689,90
0.0030242,-0.010531,0.024974,0.03551,0.026141,0.051243,0.02919,-0.013576,0.070976,0.046484,0.18145,0.22598,0.25961,0.30368,0.27721,0.34516,0.34193,0.31892,0.3179,0.34081,0.31364,0.31284,0.29716,0.56633,0.4,2.67,40.533,0.7868,91
-0.0072999,-0.031857,0.0032871,0.0057441,0.014448,0.050361,0.017948,-0.01616,0.0735,0.062166,0.21571,0.29236,0.30623,0.34682,0.33662,0.37292,0.36857,0.35816,0.3673,0.3845,0.37808,0.37549,0.37494,0.56633,0.4,2.67,40.533,0.7868,92
-0.0093501,-0.023685,0.024605,0.023146,0.022658,0.070195,0.027703,-0.0064636,0.082795,0.044614,0.21845,0.24271,0.29151,0.35708,0.33926,0.36459,0.37387,0.36004,0.36328,0.36087,0.34566,0.35011,0.37149,0.56633,0.4,2.67,40.533,0.7868,93
0.0077047,0.00080054,0.040288,0.041153,0.033381,0.07515,0.035248,0.0011983,0.081884,0.036268,0.20444,0.20744,0.26472,0.33753,0.3256,0.34821,0.3694,0.35329,0.3492,0.34619,0.31928,0.32434,0.33375,0.56633,0.4,2.67,40.533,0.7868,94
-0.015672,-0.035651,0.01144,0.0086553,0.015645,0.06226,0.025043,-0.011021,0.079648,0.057386,0.22204,0.27037,0.29981,0.3451,0.32891,0.36011,0.36012,0.35309,0.36214,0.36475,0.36092,0.3628,0.38573,0.56633,0.4,2.67,40.533,0.7868,95
0.010804,-0.012817,0.007198,0.019186,0.024786,0.057245,0.033714,-0.0035729,0.068825,0.074741,0.1774,0.27951,0.26681,0.28008,0.26565,0.31202,0.31357,0.30507,0.27948,0.32583,0.31051,0.30351,0.27064,0.56633,0.6,1.67,42.978,0.81012,96
-0.0036579,-0.021724,0.018538,0.024644,0.023092,0.056741,0.032776,-0.010789,0.076929,0.060186,0.198,0.25186,0.27372,0.31008,0.28242,0.34162,0.3373,0.32105,0.3221,0.34268,0.3295,0.32802,0.32445,0.56633,0.6,1.67,42.978,0.81012,97
-0.0027133,-0.029163,0.0055137,0.010606,0.018695,0.055809,0.026412,-0.01459,0.078738,0.074178,0.22388,0.31593,0.32148,0.35315,0.33637,0.38563,0.38223,0.3697,0.37386,0.40245,0.39505,0.38994,0.37768,0.56633,0.6,1.67,42.978,0.81012,98
