band1,band2,band3,band4,band5,disease severity
0.17764,0.35785,0.34642,0.31517,0.34438,1.33
0.20075,0.45644,0.40703,0.3953,0.39461,1.67
0.15503,0.39439,0.33213,0.27452,0.3113,2
0.23171,0.49313,0.53887,0.37632,0.36291,2
0.21277,0.47078,0.43301,0.35327,0.36605,2.33
0.18827,0.43505,0.41226,0.33806,0.37925,2
0.18992,0.38529,0.38356,0.30872,0.3405,2.33
0.15761,0.37853,0.30097,0.28896,0.32012,1.67
0.26438,0.60783,0.61095,0.41502,0.41115,5
0.15904,0.31248,0.32787,0.26234,0.29966,1.33
0.19271,0.43448,0.36126,0.34897,0.38148,1.33
0.24232,0.54808,0.53078,0.43552,0.41397,2.33
0.25397,0.53382,0.57698,0.40797,0.38707,2.33
0.14194,0.32455,0.29393,0.2914,0.34331,1.67
0.25371,0.55769,0.58691,0.42565,0.39889,2.33
0.25843,0.5606,0.54383,0.4342,0.42368,2.33
0.16433,0.37242,0.33195,0.32178,0.36521,1
0.28104,0.58628,0.62687,0.44394,0.39946,2
0.32372,0.6143,0.68482,0.438,0.37744,5
0.22222,0.49006,0.48726,0.39002,0.39342,2
0.17828,0.34965,0.34292,0.31394,0.35354,1.33
0.18563,0.40795,0.35047,0.35044,0.36842,1.67
0.15296,0.37748,0.32909,0.26388,0.29523,2
0.21508,0.47264,0.44727,0.38691,0.393,2
0.22131,0.47316,0.44362,0.3567,0.38432,2.33
0.19054,0.42433,0.39883,0.32845,0.37913,2
0.18875,0.37511,0.38481,0.3162,0.35689,2.33
0.16494,0.37202,0.32617,0.29224,0.36893,1.67
0.26826,0.61942,0.6657,0.47898,0.38896,5
0.16,0.31394,0.32763,0.26551,0.29976,1.33
0.18806,0.41258,0.34572,0.34321,0.37133,1.33
0.25814,0.54833,0.56759,0.43161,0.40748,2.33
0.25217,0.5462,0.56434,0.42392,0.40982,2.33
0.15225,0.33712,0.30536,0.28679,0.33821,1.67
0.24588,0.5468,0.54884,0.41129,0.40726,2.33
0.27248,0.56728,0.57068,0.43177,0.40337,2.33
0.16125,0.35904,0.32173,0.31577,0.36087,1
0.26111,0.5617,0.56216,0.43408,0.40272,2
0.31133,0.6381,0.64468,0.48186,0.43398,5
0.24242,0.53009,0.52988,0.40731,0.39687,2
0.16744,0.35639,0.31234,0.28521,0.32867,1.33
0.20561,0.42612,0.40593,0.35445,0.36585,1.67
0.17276,0.38978,0.34429,0.27977,0.30873,2
0.23215,0.49361,0.52262,0.38987,0.3902,2
0.22036,0.45562,0.42973,0.34881,0.37212,2.33
0.19868,0.4241,0.40211,0.3292,0.37654,2
0.19017,0.37088,0.37024,0.30304,0.35508,2.33
0.16503,0.38568,0.33834,0.30959,0.37003,1.67
0.24427,0.57703,0.60215,0.43583,0.39676,5
0.1569,0.31042,0.31883,0.25677,0.29029,1.33
